System_Name,Role_Code,Entitlement_Code
S4423552,EQNHRENQ,CUN
S4423552,EQNHRENQ,C11
S4423552,EQNHRENQ,C13
S4423552,EQNHRENQ,C21
S4423552,EQNHRENQ,C23
S4423552,EQNHRENQ,C27
S4423552,EQNHRENQ,DIE
S4423552,EQNHRENQ,EAH
S4423552,EQNHRENQ,ENQ
S4423552,EQNHRENQ,PB
S4423552,EQNHRENQ,QRY
S4423552,EQNHRENQ,RS1
S4423552,EQNHRENQ,RUR
S4423552,EQNHRENQ,TH
S4423552,EQNHRENQ,TS
S4423552,EQNHRENQ,URP
S4423552,EQNHRENQ,WS
S4423552,EQNHRENQ,03C
S4423552,EQNINVBUS,/IL
S4423552,EQNINVBUS,/LS
S4423552,EQNINVBUS,/MC
S4423552,EQNINVBUS,/ND
S4423552,EQNINVBUS,AB
S4423552,EQNINVBUS,ABE
S4423552,EQNINVBUS,AE
S4423552,EQNINVBUS,AHE
S4423552,EQNINVBUS,AHR
S4423552,EQNINVBUS,AIE
S4423552,EQNINVBUS,AS
S4423552,EQNINVBUS,ASE
S4423552,EQNINVBUS,ATL
S4423552,EQNINVBUS,BL
S4423552,EQNINVBUS,BNK
S4423552,EQNINVBUS,C
S4423552,EQNINVBUS,CB
S4423552,EQNINVBUS,CBE
S4423552,EQNINVBUS,CDE
S4423552,EQNINVBUS,CIE
S4423552,EQNINVBUS,COE
S4423552,EQNINVBUS,CPE
S4423552,EQNINVBUS,CSR
S4423552,EQNINVBUS,CUN
S4423552,EQNINVBUS,C10
S4423552,EQNINVBUS,C11
S4423552,EQNINVBUS,C12
S4423552,EQNINVBUS,C13
S4423552,EQNINVBUS,C18
S4423552,EQNINVBUS,C20
S4423552,EQNINVBUS,C21
S4423552,EQNINVBUS,C22
S4423552,EQNINVBUS,C23
S4423552,EQNINVBUS,C24
S4423552,EQNINVBUS,C25
S4423552,EQNINVBUS,C26
S4423552,EQNINVBUS,C27
S4423552,EQNINVBUS,C28
S4423552,EQNINVBUS,C30
S4423552,EQNINVBUS,C34
S4423552,EQNINVBUS,C35
S4423552,EQNINVBUS,C50
S4423552,EQNINVBUS,DCI
S4423552,EQNINVBUS,DE
S4423552,EQNINVBUS,DEA
S4423552,EQNINVBUS,DEE
S4423552,EQNINVBUS,DIE
S4423552,EQNINVBUS,DII
S4423552,EQNINVBUS,DNP
S4423552,EQNINVBUS,DTP
S4423552,EQNINVBUS,EAH
S4423552,EQNINVBUS,ENQ
S4423552,EQNINVBUS,EQU
S4423552,EQNINVBUS,HCR
S4423552,EQNINVBUS,KAA
S4423552,EQNINVBUS,KAD
S4423552,EQNINVBUS,MMR
S4423552,EQNINVBUS,MTE
S4423552,EQNINVBUS,NLE
S4423552,EQNINVBUS,NPE
S4423552,EQNINVBUS,NPR
S4423552,EQNINVBUS,PB
S4423552,EQNINVBUS,PT
S4423552,EQNINVBUS,QRY
S4423552,EQNINVBUS,RAD
S4423552,EQNINVBUS,RS2
S4423552,EQNINVBUS,RUR
S4423552,EQNINVBUS,SIR
S4423552,EQNINVBUS,TH
S4423552,EQNINVBUS,TS
S4423552,EQNINVBUS,WS
S4423552,EQNINVBUS,ZZ2
S4423552,EQNINVBUS,03C
S4423552,EQNINVBUS,11C
S4423552,EQNINVBUS,14C
S4423552,EQNINVBUS,15C
S4423552,EQNINVBUS,19C
S4423552,EQNINVBUS,21C
S4423552,EQNINVBUS,24C
S4423552,EQNINVBUS,25C
S4423552,EQNINVBUS,26C
S4423552,EQNINVBUS,27C
S4423552,EQNINVBUS,29C
S4423552,EQNINVBUS,30C
S4423552,EQNINVBUS,31C
S4423552,EQNINVBUS,33C
S4423552,EQNINVBUS,35C
S4423552,EQNINVBUS,37C
S4423552,EQNINVBUS,41C
S4423552,EQNINVBUS,47C
S4423552,EQNINVBUS,48C
S4423552,EQNINVBUS,49C
S4423552,EQNINVBUS,52C
S4423552,EQNINVBUS,53C
S4423552,EQNINVBUS,54C
S4423552,EQNPROPGRP,.DC
S4423552,EQNPROPGRP,.SC
S4423552,EQNPROPGRP,.SR
S4423552,EQNPROPGRP,/DC
S4423552,EQNPROPGRP,/IL
S4423552,EQNPROPGRP,/IO
S4423552,EQNPROPGRP,/IQ
S4423552,EQNPROPGRP,/LR
S4423552,EQNPROPGRP,/LS
S4423552,EQNPROPGRP,/MC
S4423552,EQNPROPGRP,/ME
S4423552,EQNPROPGRP,/ND
S4423552,EQNPROPGRP,/PR
S4423552,EQNPROPGRP,/P1
S4423552,EQNPROPGRP,AAH
S4423552,EQNPROPGRP,AB
S4423552,EQNPROPGRP,AGI
S4423552,EQNPROPGRP,AHE
S4423552,EQNPROPGRP,AHR
S4423552,EQNPROPGRP,AIE
S4423552,EQNPROPGRP,AMS
S4423552,EQNPROPGRP,ANC
S4423552,EQNPROPGRP,API
S4423552,EQNPROPGRP,AS
S4423552,EQNPROPGRP,ASC
S4423552,EQNPROPGRP,ASE
S4423552,EQNPROPGRP,BL
S4423552,EQNPROPGRP,BNK
S4423552,EQNPROPGRP,C
S4423552,EQNPROPGRP,CB
S4423552,EQNPROPGRP,CBE
S4423552,EQNPROPGRP,CDE
S4423552,EQNPROPGRP,CIE
S4423552,EQNPROPGRP,COE
S4423552,EQNPROPGRP,CPE
S4423552,EQNPROPGRP,CSR
S4423552,EQNPROPGRP,CUN
S4423552,EQNPROPGRP,C11
S4423552,EQNPROPGRP,C12
S4423552,EQNPROPGRP,C13
S4423552,EQNPROPGRP,C18
S4423552,EQNPROPGRP,C20
S4423552,EQNPROPGRP,C21
S4423552,EQNPROPGRP,C22
S4423552,EQNPROPGRP,C23
S4423552,EQNPROPGRP,C24
S4423552,EQNPROPGRP,C25
S4423552,EQNPROPGRP,C27
S4423552,EQNPROPGRP,C30
S4423552,EQNPROPGRP,C34
S4423552,EQNPROPGRP,C35
S4423552,EQNPROPGRP,C50
S4423552,EQNPROPGRP,DCI
