System_Name,Entitlement_Code,Account_ID,CCM Access,Staff Access
S4423552,AAE,IC39, , 
S4423552,AB,IC39, , 
S4423552,ABE,IC39, , 
S4423552,AE,IC39, , 
S4423552,AHE,IC39, , 
S4423552,AHR,IC39, , 
S4423552,AIE,IC39, , 
S4423552,AS,IC39, , 
S4423552,ASE,IC39, , 
S4423552,ATL,IC39, , 
S4423552,ATT,IC39, , 
S4423552,BAL,IC39, , 
S4423552,BFR,IC39, , 
S4423552,BL,IC39, , 
S4423552,BLR,IC39, , 
S4423552,BNK,IC39, , 
S4423552,CB,IC39, , 
S4423552,CBE,IC39, , 
S4423552,CDE,IC39, , 
S4423552,CE,IC39, , 
S4423552,CFE,IC39, , 
S4423552,CGR,IC39, , 
S4423552,CLC,IC39, , 
S4423552,CLG,IC39, , 
S4423552,CLI,IC39, , 
S4423552,CLR,IC39, , 
S4423552,CNE,IC39, , 
S4423552,CNU,IC39, , 
S4423552,CNX,IC39, , 
S4423552,COE,IC39, , 
S4423552,CPE,IC39, , 
S4423552,CSE,IC39, , 
S4423552,CSL,IC39, , 
S4423552,CSR,IC39, , 
S4423552,CUE,IC39, , 
S4423552,CUN,IC39, , 
S4423552,CUX,IC39, , 
S4423552,CYL,IC39, , 
S4423552,DE,IC39, , 
S4423552,DEA,IC39, , 
S4423552,DEE,IC39, , 
S4423552,DIE,IC39, , 
S4423552,DII,IC39, , 
S4423552,DNE,IC39, , 
S4423552,DR0,IC39, , 
S4423552,DTP,IC39, , 
S4423552,EAH,IC39, , 
S4423552,ENQ,IC39, , 
S4423552,EXE,IC39, , 
S4423552,FCL,IC39, , 
S4423552,FCP,IC39, , 
S4423552,FGP,IC39, , 
S4423552,FSR,IC39, , 
S4423552,FTE,IC39, , 
S4423552,FXP,IC39, , 
S4423552,GCL,IC39, , 
S4423552,GDE,IC39, , 
S4423552,GPR,IC39, , 
S4423552,GRE,IC39, , 
S4423552,HCR,IC39, , 
S4423552,JAE,IC39, , 
S4423552,JRC,IC39, , 
S4423552,KAA,IC39, , 
S4423552,KAD,IC39, , 
S4423552,KAR,IC39, , 
S4423552,MCL,IC39, , 
S4423552,MGP,IC39, , 
S4423552,MMR,IC39, , 
