System_Name,Entitlement_Code,Account_ID,CCM Access,Staff Access
S4423552,TH,INPR,P,P
S4423552,TS,INPR,P,P
S4423552,WS,INPR,P,P
S4423552,WXY,INPR,P,P
S4423552,ZZZ,INPR,P,P
S4423552,35C,INPR,P,P
S4423552,/BA,INSP,P,P
S4423552,/IO,INSP,P,P
S4423552,/IP,INSP,P,P
S4423552,AAE,INSP,P,P
S4423552,ABO,INSP,P,P
S4423552,AE,INSP,P,P
S4423552,AIE,INSP,P,P
S4423552,AU,INSP,P,P
S4423552,CAA,INSP,P,P
S4423552,DAU,INSP,P,P
S4423552,DCA,INSP,P,P
S4423552,DCI,INSP,P,P
S4423552,DDN,INSP,P,P
S4423552,DE,INSP,P,P
